imageName,sigtype1,sig1,sigtype2,sig2,sigtype3,sig3,sigtype4,sig4,sigtype5,sig5
\NVIDIA,SHA1,0C0F314E3939C9ABBBDCE667F54CC739B74CC7D9,MD5,9FF430FEA20829FF172625CBA2306AC6,CRC16,NA,CRC32,NA,HMACSHA1,7DB9CC4B7D16CC00C1141A324EB875481083074B
dbInstaller.exe,SHA1,BCE52E98D18D81A04F1C8F08133F8BCBDB4362AA,MD5,F5B44915FFE94A429C4CA6E2231450FB,CRC16,F93F,CRC32,35FB2A6F,HMACSHA1,7E8F79E0BFE96A2456A6C7C71EADAF2F66C81581
DisplayDriver.nvi,SHA1,FD03D80DD33C819C7FD9F8199D8C7FB6DDBFCF76,MD5,B5E2DDF2759B4CC433093D12F946D977,CRC16,17F3,CRC32,452D122B,HMACSHA1,1C6C8E75EA67EFF66DF7ABB91E878437D532C980
DisplayDriverExt.dll,SHA1,2065B5170802FD6A960C77FBEF91F5F0FDCFC506,MD5,4FDD525CF5C978822187EBDC7E167C2C,CRC16,8BD7,CRC32,1516AB3B,HMACSHA1,05B6E883985AA5B06C06BAF15239C46C1791492E
license.txt,SHA1,49F4E9498720377B2F1ED1385090C030B2E48EB5,MD5,C7E2FE565A12930A3538D4B1E70072BE,CRC16,A01F,CRC32,F4497661,HMACSHA1,775BD5DE52CA1D987970193BDB44D8B6EFFB53EA
modes.txt,SHA1,E0F00D16A3C0604A82601A9E777991435184EFE8,MD5,52C36BE340C1301B4AAD290AB8A74CE5,CRC16,CD7A,CRC32,8E0BC995,HMACSHA1,D935CA0411ED8AD8BC2920883191C70BF12477A7
nvapi.dl_,SHA1,C12B457398CD9C2727AEECF307988C695E23E373,MD5,DABB26E6353DC27BBD1FAA7A0A84D652,CRC16,6F2D,CRC32,F9AED061,HMACSHA1,18E6B51216E49CB2E114BAB8AB8A1126276316B2
nvapi64.dl_,SHA1,C579834ECDEDED4CE8E0AC7F26E55DF69E89062D,MD5,6336C57A5EC27E47F9ABF0A32CB1D1C6,CRC16,286A,CRC32,C59CD986,HMACSHA1,90DF1BDAE1F572CB551D5EDF700B090863E88D41
nvBridge.km_,SHA1,C71323F67956BBECD0B11BB953741BBF34DB9347,MD5,15CB13FF7ED40011142399614283EE61,CRC16,189A,CRC32,59BEF0F6,HMACSHA1,AE5CAFC847927D51DADF05F118777A6F8723D4B6
nvcompiler.dl_,SHA1,448CFDF684DF134F4EC8D48B7C82A52C3A1C5EFC,MD5,38F0B694959D320375BDC01BFCCB518D,CRC16,1ABC,CRC32,1E995032,HMACSHA1,FD172E0791FEB24EF27ED784ECA8C75A194B5DB1
nvcompiler32.dl_,SHA1,BF3011DCC846A1368837197F4B1F2AFAD8B04787,MD5,1C08FD9FB8636187CD5B74C0C2E5EBB8,CRC16,2324,CRC32,7375E7E6,HMACSHA1,5CB4EF247C4F887090D9479B1BF8786191014094
NvCplSetupEng.exe,SHA1,10D7ECD34FB5919D9384DA182B64D3945655CF65,MD5,EFCC2995A87FD69C25AC4B03EBACE1FB,CRC16,D065,CRC32,1964F355,HMACSHA1,F3C691E2A50E6A98A4ECCF483841AFD448A090F4
nvcuda.dl_,SHA1,6CD43D8DC6DA186FDAC8D0549C4D4BB6BB4D2BAA,MD5,239E0A8861311A1F1FA5D07C5DD21999,CRC16,D349,CRC32,AF5E7D5E,HMACSHA1,23E8390B8D5FD8C84274A5FC49A6C657632A8225
nvcuda32.dl_,SHA1,D637F3D1699FD552A82AE3FA20123ECD5CDB6990,MD5,173990C9CF457D634E7D1C41241BDAE3,CRC16,DD49,CRC32,BF0E5E87,HMACSHA1,C8B3F6CB42A498CBBF29B51E55B70AF8EDF0EF3B
nvcuvenc.dl_,SHA1,1FFFD23BAE4D23E3E6ABC914983395F7A6995CAA,MD5,C9CB201D1CFA5E73E9252638C24A8D84,CRC16,1C20,CRC32,BC970B79,HMACSHA1,57D66FC2DDCA3F96D74ADC16E0F2016BCDB9978C
nvcuvenc64.dl_,SHA1,9DB9CE6D94DC6998B80B5E6B9669CB386DC876BD,MD5,D1B9CD5D0C0ED1D42FA0EEE8A47B497C,CRC16,F973,CRC32,A8364044,HMACSHA1,D884F17CAEF44DA179758612BD51E81250C67856
nvcuvid.dl_,SHA1,A8CAA7E79035A85AE20F0EDF5ED81607ACAA5602,MD5,B6040CB54B5ED9A8A2766E4F15D877BA,CRC16,E0A3,CRC32,3F1876A6,HMACSHA1,DF7649093AD79776E5D84369A36B9EB3502E6D21
nvcuvid32.dl_,SHA1,5AA328C745347C83D1628D177530B8AABCD92E33,MD5,8851698ADE7A392BCA3A8103266FCC65,CRC16,BD99,CRC32,A6EF2EDB,HMACSHA1,5C7BF53AF23E1388FAF93E7F2BBA715D6E14FBA4
nvd3dum.dl_,SHA1,135611414D35BDF6100BF5BA4B3F1952CB8231D3,MD5,6594E183F0244AE989E8A0717BF0347A,CRC16,D4A9,CRC32,879DFBB2,HMACSHA1,E7E4BD73BC0B9C35335AF515D419E553ABD51AB9
nvd3dumx.dl_,SHA1,64B2DFE4F6764C91559DB6CE26A523EAA322B9F2,MD5,320DFF448435CA2A8B28274D46056852,CRC16,CDF9,CRC32,9D92D41E,HMACSHA1,FAA43A682FF06E95CBBBC1DB828C0F78EDE83451
nvdispco64.dll,SHA1,0F48245837BE35C63EEDB2940ED752887F407F4E,MD5,CC8FD6B3B61F68920E22D2EE272D0D1D,CRC16,2394,CRC32,4A50F055,HMACSHA1,1E8DA14119FFB7465B818DB218BBF24018D6D203
nvdrsdb.bi_,SHA1,D0BABD60A920EA20B0490084A3A9787CAE65D38C,MD5,D8301FF06950A3FE01D8C834C7B7CBA9,CRC16,9863,CRC32,DBA58B4B,HMACSHA1,61A823B2FF921816289AF998FAE6237F659C1F16
nvgenco64.dll,SHA1,F9393F44CFA8D713D2DACEDF314961CCF13477DD,MD5,14F63F28614C4FBE0068E19A6DA63908,CRC16,8.00E+30,CRC32,A67F69AC,HMACSHA1,1245FF3254FCEA49EA63924BCD368158D2846152
nvidia-smi.ex_,SHA1,88D87226252C124725ECF9701C770F8BB342198B,MD5,C8D73C1F61609FC2D870F0917B9F6073,CRC16,D895,CRC32,89827F9B,HMACSHA1,30B0FB9C7354B493968DB1A199E05E233581E1B1
nvinfo.pb,SHA1,39BE2567FC4965042DCF6F5F55112E03A9F8014B,MD5,DB6EE6D2068F8E66CAB9B17ADD14D85F,CRC16,D1A4,CRC32,6869B228,HMACSHA1,CACE060D433A82E2F4812D235498A882D77C571L
