Location,FileFolderName,SignatureType,Signature
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriverExt.dll,HMACSHA1,05B6E883985AA5B06C06BAF15239C46C1791492E
[root]:\,\NVIDIA,SHA1,0C0F314E3939C9ABBBDCE667F54CC739B74CC7D9
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,NvCplSetupEng.exe,SHA1,10D7ECD34FB5919D9384DA182B64D3945655CF65
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dum.dl_,SHA1,135611414D35BDF6100BF5BA4B3F1952CB8231D3
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriverExt.dll,CRC32,1516AB3B
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvBridge.km_,MD5,15CB13FF7ED40011142399614283EE61
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda32.dl_,MD5,173990C9CF457D634E7D1C41241BDAE3
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriver.nvi,CRC16,17F3
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvBridge.km_,CRC16,189A
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi.dl_,HMACSHA1,18E6B51216E49CB2E114BAB8AB8A1126276316BL
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,NvCplSetupEng.exe,CRC32,1964F355
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler.dl_,CRC16,1ABC
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler32.dl_,MD5,1C08FD9FB8636187CD5B74C0C2E5EBB8
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc.dl_,CRC16,1C20
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriver.nvi,HMACSHA1,1C6C8E75EA67EFF66DF7ABB91E878437D532C980
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler.dl_,CRC32,1E995032
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc.dl_,SHA1,1FFFD23BAE4D23E3E6ABC914983395F7A6995CAA
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriverExt.dll,SHA1,2065B5170802FD6A960C77FBEF91F5F0FDCFC506
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler32.dl_,CRC16,2324
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvdispco64.dll,CRC16,2394
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda.dl_,MD5,239E0A8861311A1F1FA5D07C5DD21999
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda.dl_,HMACSHA1,23E8390B8D5FD8C84274A5FC49A6C657632A8225
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi64.dl_,CRC16,286A
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dumx.dl_,MD5,320DFF448435CA2A8B28274D46056852
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,dbInstaller.exe,CRC32,35FB2A6F
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler.dl_,MD5,38F0B694959D320375BDC01BFCCB518D
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid.dl_,CRC32,3F1876A6
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler.dl_,SHA1,448CFDF684DF134F4EC8D48B7C82A52C3A1C5EFC
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriver.nvi,CRC32,452D122B
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,license.txt,SHA1,49F4E9498720377B2F1ED1385090C030B2E48EB5
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvdispco64.dll,CRC32,4A50F055
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriverExt.dll,MD5,4FDD525CF5C978822187EBDC7E167C2C
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,modes.txt,MD5,52C36BE340C1301B4AAD290AB8A74CE5
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvenc.dl_,HMACSHA1,57D66FC2DDCA3F96D74ADC16E0F2016BCDB9978C
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvBridge.km_,CRC32,59BEF0F6
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid32.dl_,SHA1,5AA328C745347C83D1628D177530B8AABCD92E33
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid32.dl_,HMACSHA1,5C7BF53AF23E1388FAF93E7F2BBA715D6E14FBA4
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler32.dl_,HMACSHA1,5CB4EF247C4F887090D9479B1BF8786191014094
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi64.dl_,MD5,6336C57A5EC27E47F9ABF0A32CB1D1C6
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dumx.dl_,SHA1,64B2DFE4F6764C91559DB6CE26A523EAA322B9F2
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dum.dl_,MD5,6594E183F0244AE989E8A0717BF0347A
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuda.dl_,SHA1,6CD43D8DC6DA186FDAC8D0549C4D4BB6BB4D2BAA
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvapi.dl_,CRC16,6F2D
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcompiler32.dl_,CRC32,7375E7E6
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,license.txt,HMACSHA1,775BD5DE52CA1D987970193BDB44D8B6EFFB53EA
[root]:\,\NVIDIA,HMACSHA1,7DB9CC4B7D16CC00C1141A324EB875481083074B
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,dbInstaller.exe,HMACSHA1,7E8F79E0BFE96A2456A6C7C71EADAF2F66C81581
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvd3dum.dl_,CRC32,879DFBB2
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,nvcuvid32.dl_,MD5,8851698ADE7A392BCA3A8103266FCC65
C:\NVIDIA\DisplayDriver\266.45\Vista 64-bit\English\Display.Driver,DisplayDriverExt.dll,CRC16,8BD7
